File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
tasks.o,24.532425%,3817,800,3774,43,0,800
queue.o,15.232342%,2370,64,2350,20,0,64
port.o,6.639244%,1033,9,988,41,4,5
mc_w.l,6.157208%,958,4,954,0,4,0
timers.o,6.035092%,939,60,918,21,0,60
main.o,4.936050%,768,24,768,0,0,24
heap_4.o,4.267626%,664,76828,626,38,0,76828
gd32f4xx_usart.o,3.804872%,592,0,592,0,0,0
printf4.o,3.779163%,588,0,588,0,0,0
usart0.o,3.624912%,564,1028,564,0,0,1028
system_gd32f4xx.o,3.432097%,534,4,530,0,4,0
exti.o,3.020760%,470,0,470,0,0,0
gd32f4xx_dma.o,2.789382%,434,0,434,0,0,0
startup_gd32f407_427.o,2.750819%,428,1024,36,392,0,1024
gd32f4xx_rcu.o,1.851019%,288,0,280,8,0,0
gd32f4xx_gpio.o,1.761039%,274,0,274,0,0,0
gd32f4xx_misc.o,1.156887%,180,0,180,0,0,0
list.o,0.964072%,150,0,150,0,0,0
uldiv.o,0.629861%,98,0,98,0,0,0
systick.o,0.617006%,96,0,96,0,0,0
init.o,0.308503%,48,0,48,0,0,0
puts.o,0.231377%,36,0,36,0,0,0
memseta.o,0.231377%,36,0,36,0,0,0
memcpya.o,0.231377%,36,0,36,0,0,0
llushr.o,0.205669%,32,0,32,0,0,0
llshl.o,0.192814%,30,0,30,0,0,0
handlers.o,0.192814%,30,0,30,0,0,0
gd32f4xx_exti.o,0.192814%,30,0,30,0,0,0
gd32f4xx_it.o,0.077126%,12,0,12,0,0,0
entry9a.o,0.051417%,8,0,8,0,0,0
entry2.o,0.051417%,8,0,8,0,0,0
stdout.o,0.025709%,4,4,0,0,4,0
entry5.o,0.025709%,4,0,4,0,0,0
